quoterevisionid,productDescription,isstockproduct,quoted,firstsold,senttoESVS,Day,Day_Diff
5755082,4x6-12' #2/Btr Pressure Treated,1,2018-02-27,2018-02-28,2018-02-28,Multi Day,1
5755082,2 in. x 4 in. x 8 ft. #2 Ground Contact Pressure-Treated Lumber 106147 288639,1,2018-02-27,2018-02-28,2018-02-28,Multi Day,1
5755082,1 in. x 6 in. x 8 ft. Pressure-Treated Pine Dog-Ear Fence Picket 102582 150535 288835,1,2018-02-27,2018-02-28,2018-02-28,Multi Day,1
6425736,"1/2"" 4x8 OSB",1,2018-05-30,2018-05-30,2018-05-31,Multi Day,1
6425736,4x6-8' #2/Btr Pressure Treated,1,2018-05-30,2018-05-30,2018-05-31,Multi Day,1
6425736,GAF Royal Sovereign Asphalt 3-Tab Roof Shingles,1,2018-05-30,2018-05-30,2018-05-31,Multi Day,1
6425736,Warrior Roofing #30 216 sq. ft. Felt Roof Deck Protection 414-0,1,2018-05-30,2018-05-30,2018-05-31,Multi Day,1
6425736,2x6-16' SYP #2 Prime WeatherShield S4S Pressure Treated,1,2018-05-30,2018-05-30,2018-05-31,Multi Day,1
5256021,2x6-16' SYP #2 Prime WeatherShield S4S Pressure Treated,1,2017-11-21,2017-11-22,2017-11-22,Multi Day,1
5256021,WeatherShield 2 in. x 4 in. x 16 ft. #2 Prime Ground Contact Pressure-Treated Lumber 253920 291224,1,2017-11-21,2017-11-22,2017-11-22,Multi Day,1
5256021,4x4-8' #2/Btr Pressure Treated,1,2017-11-21,2017-11-22,2017-11-22,Multi Day,1
5256021,3/4 in. x 4 ft. x 8 ft. Ground Contact Pressure Treated Pine Performance Rated Sheathing 106128,1,2017-11-21,2017-11-22,2017-11-22,Multi Day,1
5256021,Deck Mate #8 x 2 in. Star Flat-Head Wood Deck Screws (5 lb.-Pack) 734998,1,2017-11-21,2017-11-22,2017-11-22,Multi Day,1
5075710,4x6-8' DF #2/Btr S4S GRN,1,2017-10-24,2017-10-25,2017-10-25,Multi Day,1
5075710,2 in. x 6 in. x 14 ft. Premium #2 and Better Douglas Fir Lumber 2023-14 2x6-14 #2/btr prime doug fir 593988,1,2017-10-24,2017-10-25,2017-10-25,Multi Day,1
5075710,2 in. x 6 in. x 16 ft. Prime #2 and Better Douglas Fir Lumber 2023-16 2x6-16 #2/btr prime doug fir 603694,1,2017-10-24,2017-10-25,2017-10-25,Multi Day,1
5075710,Trim Board J-Grade Select Fascia (Common: 2 in. x 8 in. x 16 ft.; Actual: 1.375 in. x 7.12 in. x 192 in.) 702137,1,2017-10-24,2017-10-25,2017-10-25,Multi Day,1
5075710,1/2 (15/32) 4x8 DF Rated Sheathing (CDX) Plywood,1,2017-10-24,2017-10-25,2017-10-25,Multi Day,1
5075710,2x4-12' DF Std/Btr S4S GRN,1,2017-10-24,2017-10-25,2017-10-25,Multi Day,1
5075710,1 in. x 2 in. x 12 ft. Furring Strip Board 7159,1,2017-10-24,2017-10-25,2017-10-25,Multi Day,1
5075710,3 ft. x 36 ft. 100 sq. ft. Coverage White Fiberglass Mineral-Surfaced Cap Roll Roofing 24/008006,1,2017-10-24,2017-10-25,2017-10-25,Multi Day,1
5075710,Fields 4 sq. ASTM Type 15 Felt Roll F45,1,2017-10-24,2017-10-25,2017-10-25,Multi Day,1
5075710,Construction Metals 1-1/2 in. x 1-1/2 in. x 10 ft. Galvanized Steel Roof Edge Flashing RE15G,1,2017-10-24,2017-10-25,2017-10-25,Multi Day,1
5336047,JELD-WEN 36 in. x 80 in. 6-Panel Primed Steel Prehung Left-Hand Inswing Front Door THDJW166100294,1,2017-12-06,2017-12-06,2017-12-07,Multi Day,1
5336047,GE Drip Pans for Electric Ranges (4-Pack) GE68C,1,2017-12-06,2017-12-06,2017-12-07,Multi Day,1
5336047,"Everbilt 48"" Sliding Door Set",1,2017-12-06,2017-12-06,2017-12-07,Multi Day,1
5336047,Prime-Line 7/8 in. Back Position Top Hung Bypass Closet Door Roller and Bracket N 6501,1,2017-12-06,2017-12-06,2017-12-07,Multi Day,1
5336047,Prime-Line 7/8 in. Front-Position Top-Hung Bypass Closet Door Rollers and Brackets (2-Pack) N 6500,1,2017-12-06,2017-12-06,2017-12-07,Multi Day,1
5336047,Kwikset Tylo Polished Brass Entry Knob and Single Cylinder Deadbolt Combo Pack 690T 3 CP,1,2017-12-06,2017-12-06,2017-12-07,Multi Day,1
5502735,Fifth Avenue Firecode 2 ft. x 4 ft. Lay-In Ceiling Tile (8-Pack),1,2018-01-13,2018-01-16,2018-01-16,Multi Day,3
6271610,2x4-8' DF Std/Btr S4S GRN,1,2018-05-10,2018-05-14,2018-05-14,Multi Day,4
6271610,7/16 4x8 TruWood Sturdy,1,2018-05-10,2018-05-14,2018-05-14,Multi Day,4
6271610,2x4-20' DF Std/Btr S4S GRN,1,2018-05-10,2018-05-14,2018-05-14,Multi Day,4
5471547,"Owens Corning Standard R30 9-1/2""x24""x48"" Kraft-Faced Batt",1,2018-01-08,2018-01-10,2018-01-10,Multi Day,2
5800444,Pallet Fee,1,2018-03-06,2018-03-15,2018-03-07,Multi Day,1
5143286,Pac Trim 1 in. x 4 in. x 16 ft. Gray Primed MDF Trim 83385 PAC1701725,1,2017-11-02,2017-11-03,2017-11-03,Multi Day,1
5143286,1 in. x 6 in. x 16 ft. Primed MDF E2E Board 83390 F36010616,1,2017-11-02,2017-11-03,2017-11-03,Multi Day,1
5328911,1/2 4x8 OSB,1,2017-12-05,2017-12-06,2017-12-06,Multi Day,1
5747549,RPBZ Simpson Strong-Tie 12 GA Post Base,1,2018-02-27,2018-02-28,2018-02-28,Multi Day,1
5747549,"SDS1/4X1.5G-RC50 Simpson Strong-Tie Strong-Drive 1/4""x1-1/2"" Wood Screws",1,2018-02-27,2018-02-28,2018-02-28,Multi Day,1
5906095,"1/2"" 4x8 OSB",1,2018-03-22,2018-03-23,2018-03-23,Multi Day,1
